"job_via","job_count","job_percentage"
"via LinkedIn","186990","24%"
"via BeBee","103655","13%"
"via Trabajo.org","61935","8%"
"via Indeed","42835","5%"
"via Recruit.net","23714","3%"
"via ZipRecruiter","15612","2%"
"via Jobs Trabajo.org","10690","1%"
"via Snagajob","9424","1%"
"via Trabajo.org - Vacantes De Empleo, Trabajo","8920","1%"
"via BeBee India","8705","1%"
"via BeBee Singapore","7978","1%"
"via SimplyHired","6619","1%"
"via Jobrapido.com","6225","1%"
"via Sercanto","5680","1%"
"via The Muse","5568","1%"
"via BeBee Portugal","5534","1%"
"via Ai-Jobs.net","5372","1%"
"via Adzuna","5261","1%"
"via Emplois Trabajo.org","5165","1%"
"via BeBee Canada","4709","1%"
"via Dice","4488","1%"
"via SmartRecruiters Job Search","4480","1%"
"via BeBee Belgique","4432","1%"
"via Talent.com","4221","1%"
"via Jobijoba","4011","1%"
